Name,Ratings,Votes
Breaking Bad,9.5,2.3M
Planet Earth II,9.5,164K
Planet Earth,9.4,226K
Band of Brothers,9.4,551K
Chernobyl,9.3,921K
The Wire,9.3,395K
Avatar: The Last Airbender,9.3,395K
Blue Planet II,9.3,51K
The Sopranos,9.2,507K
Cosmos: A Spacetime Odyssey,9.2,133K
Cosmos,9.3,47K
Our Planet,9.2,55K
Game of Thrones,9.2,2.4M
Bluey,9.3,36K
The World at War,9.2,33K
Fullmetal Alchemist: Brotherhood,9.1,213K
Rick and Morty,9.1,634K
Life,9.1,45K
The Last Dance,9.0,162K
The Twilight Zone,9.0,99K
The Vietnam War,9.1,31K
Sherlock,9.1,1M
Attack on Titan,9.1,577K
Batman: The Animated Series,9.0,124K
Arcane,9.0,367K
Better Call Saul,9.0,703K
The Office,9.0,756K
The Blue Planet,9.0,45K
Clarkson's Farm,9.0,69K
Scam 1992: The Harshad Mehta Story,9.2,163K
Human Planet,9.0,30K
Frozen Planet,9.0,35K
Hunter x Hunter,9.0,154K
Firefly,8.9,288K
Only Fools and Horses,9.0,60K
The Civil War,9.0,21K
Death Note,8.9,408K
Gravity Falls,8.9,150K
Seinfeld,8.9,364K
Dekalog,8.9,30K
The Beatles: Get Back,8.9,31K
Cowboy Bebop,8.9,149K
True Detective,8.9,685K
Fargo,8.9,438K
As If,9.0,27K
Nathan for You,8.9,42K
Persona,9.0,51K
Apocalypse: The Second World War,9.0,16K
Taskmaster,9.0,24K
Africa,8.9,19K
When They See Us,8.8,145K
Friends,8.9,1.1M
Frieren: Beyond Journey's End,8.9,32K
Last Week Tonight with John Oliver,8.8,99K
It's Always Sunny in Philadelphia,8.8,262K
Succession,8.8,303K
TVF Pitchers,9.1,75K
The West Wing,8.9,90K
One Piece,9.0,278K
Monty Python's Flying Circus,8.8,82K
Curb Your Enthusiasm,8.8,155K
Das Boot,8.8,36K
BoJack Horseman,8.8,204K
The Chosen,9.1,54K
Fawlty Towers,8.8,104K
Leyla and Mecnun,9.1,99K
Dragon Ball Z,8.8,158K
Blackadder Goes Forth,8.8,60K
Panchayat,9.0,101K
Pride and Prejudice,8.8,97K
Freaks and Geeks,8.8,158K
Twin Peaks,8.7,224K
Dragon Ball Z,8.8,94K
Chappelle's Show,8.8,75K
Narcos,8.7,491K
Bleach: Thousand-Year Blood War,9.0,56K
Vinland Saga,8.8,90K
Gullak,9.1,26K
"I, Claudius",8.8,21K
Kota Factory,9.0,87K
South Park,8.7,417K
Black Mirror,8.7,667K
Over the Garden Wall,8.7,78K
Ted Lasso,8.8,382K
X-Men '97,8.8,40K
Reply 1988,9.0,15K
Peaky Blinders,8.7,692K
Six Feet Under,8.7,156K
Steins;Gate,8.8,80K
Rome,8.7,192K
Oz,8.7,111K
My Mister,9.0,12K
Dark,8.7,475K
Berserk,8.7,62K
Fleabag,8.7,219K
The Last of Us,8.7,595K
Downton Abbey,8.7,232K
The Shield,8.7,92K
Battlestar Galactica,8.7,180K
Severance,8.7,240K
The Grand Tour,8.7,89K
Blue Eye Samurai,8.7,85K
The Simpsons,8.7,448K
Mad Men,8.7,270K
Peep Show,8.7,69K
Star Trek: The Next Generation,8.7,142K
House,8.7,544K
Arrested Development,8.7,332K
One Punch Man,8.7,196K
Naruto: Shippuden,8.7,188K
The Boys,8.7,749K
Justice League Unlimited,8.7,22K
Monster,8.7,53K
Invincible,8.6,226K
The Adventures of Sherlock Holmes,8.7,26K
Mahabharat,8.9,25K
Friday Night Lights,8.7,75K
Stranger Things,8.7,1.4M
The Marvelous Mrs,8.7,149K
Line of Duty,8.7,74K
Top Gear,8.7,131K
1883,8.7,129K
The Thick of It,8.7,28K
How to with John Wilson,8.7,15K
Behzat Ç: An Ankara Detective Story,8.8,34K
The Penguin,8.6,161K
This Is Us,8.7,165K
Sarabhai V/S Sarabhai,8.9,19K
Father Ted,8.7,46K
Aspirants,9.2,315K
The Mandalorian,8.6,612K
Code Geass,8.7,87K
House of Cards,8.6,542K
Parks and Recreation,8.6,298K
Atlanta,8.6,93K
The X-Files,8.6,258K
Deadwood,8.6,122K
Dexter,8.6,816K
Adventure Time,8.6,120K
The Crown,8.6,266K
Ramayan,9.0,25K
It's a Sin,8.6,39K
Shōgun,8.6,198K
The Bridge,8.6,80K
Primal,8.7,24K
Daredevil,8.6,489K
Lonesome Dove,8.7,28K
Blackadder II,8.6,52K
Mr Inbetween,8.7,37K
Mindhunter,8.6,358K
Poirot,8.6,55K
Haikyu!!,8.7,42K
Mr,8.6,140K
The Jinx: The Life and Deaths of Robert Durst,8.6,55K
The Return of Sherlock Holmes,8.7,14K
The Offer,8.6,44K
Crash Landing on You,8.7,48K
Gomorrah,8.6,47K
Fighting Spirit,8.8,13K
Scavengers Reign,8.6,27K
Yes Minister,8.6,18K
Pose,8.6,35K
Blackadder the Third,8.6,49K
Mystery Science Theater 3000,8.6,27K
Anne with an E,8.6,72K
Greatest Events of WWII in Colour,8.6,12K
Archer,8.6,170K
The Newsroom,8.6,129K
Dopesick,8.6,84K
Critical Role,9.0,14K
Demon Slayer: Kimetsu no Yaiba,8.6,176K
Yeh Meri Family,8.9,27K
Boardwalk Empire,8.6,209K
The Bureau,8.7,16K
Young Justice,8.6,48K
El Chavo del Ocho,8.7,14K
Homicide: Life on the Street,8.7,16K
QI,8.6,35K
Justified,8.6,123K
The Bugs Bunny Show,8.6,37K
What We Do in the Shadows,8.6,115K
The Family Man,8.7,103K
The Haunting of Hill House,8.5,304K
Dragon Ball,8.5,70K
Justice League,8.5,54K
Battlestar Galactica,8.5,82K
The Venture Bros,8.6,29K
Dragon Ball,8.5,68K
Endeavour,8.6,35K
"Yes, Prime Minister",8.6,14K
Yellowstone,8.6,254K
Flight of the Conchords,8.5,68K
The Bear,8.5,259K
Samurai Champloo,8.5,58K
The Queen's Gambit,8.5,596K
Rocket Boys,8.9,19K
Coupling,8.5,49K
The IT Crowd,8.5,169K
Making a Murderer,8.5,105K
Ezel,8.6,40K
Mr,8.5,434K
Black Sun,8.8,13K
I'm Alan Partridge,8.6,23K
Impractical Jokers,8.6,48K
Samurai Jack,8.5,62K
Jujutsu Kaisen,8.5,141K
Detectorists,8.6,23K
Happy Valley,8.5,68K
Spaced,8.5,59K
Long Way Round,8.6,16K
Mob Psycho 100,8.5,52K
Spartacus,8.5,264K
The Eric Andre Show,8.5,23K
Whose Line Is It Anyway?,8.5,48K
Regular Show,8.5,64K
Louie,8.5,84K
Sons of Anarchy,8.5,335K
Derry Girls,8.5,66K
Through the Wormhole,8.6,19K
The Office,8.5,127K
Twin Peaks,8.5,80K
Neon Genesis Evangelion,8.5,93K
Trailer Park Boys,8.5,53K
Formula 1: Drive to Survive,8.5,54K
Schitt's Creek,8.5,156K
Spartacus: Gods of the Arena,8.5,149K
Brass Eye,8.6,12K
Shameless,8.5,303K
Skam,8.6,40K
